arraySize;MergeSortWithSingleAuxiliaryArray;MergeSortNoMergeOnSorted;MergeSortJavaAPIVersion;QuickSortMidToExamine;QuickSortHoare;QuickSortCrescenzi
50000;21;34;29;25;25;50;
100000;18;18;7;17;17;18;
150000;26;28;10;24;25;28;
200000;37;37;14;35;37;38;
250000;46;46;17;44;44;48;
300000;58;59;22;54;53;61;
350000;68;68;24;63;65;69;
400000;75;79;28;71;74;82;
450000;87;87;45;82;84;90;
500000;110;101;36;92;94;137;
550000;115;110;39;105;104;125;
600000;122;118;43;114;114;129;
650000;163;155;49;130;144;183;
700000;181;188;52;150;142;153;
750000;159;155;75;142;146;201;
800000;190;175;58;150;158;213;
850000;174;177;63;169;168;193;
900000;186;185;66;182;181;234;
950000;228;205;101;203;188;264;
1000000;267;213;80;199;204;213;
1050000;239;217;75;197;204;226;
1100000;226;233;87;233;216;244;
1150000;253;240;83;250;272;298;
1200000;326;293;117;240;238;258;
1250000;280;275;91;243;251;266;
1300000;275;282;111;278;299;331;
1350000;303;322;98;271;275;306;
1400000;299;294;102;275;282;303;
1450000;347;391;152;390;372;344;
1500000;343;328;106;295;299;337;
1550000;332;324;111;307;334;343;
1600000;353;341;113;315;336;347;
1650000;358;352;119;331;367;371;
1700000;379;421;123;340;344;379;
1750000;374;380;131;351;365;381;
1800000;393;392;130;362;360;397;
1850000;388;400;136;372;378;410;
1900000;444;418;135;391;386;481;
1950000;466;433;146;398;400;440;
2000000;467;583;206;427;462;515;
